pico,large,micro,meso
13840000000000,5670000000000,11930000000000,8573000000000
14210000000000,7879000000000,13570000000000,9957000000000
14790000000000,8002000000000,12590000000000,12360000000000
16320000000000,7319000000000,12340000000000,13550000000000
16820000000000,6145000000000,11710000000000,13580000000000
15870000000000,6107000000000,11800000000000,12580000000000
15470000000000,6102000000000,11760000000000,11940000000000
15240000000000,5824000000000,11570000000000,11610000000000
14350000000000,5296000000000,11100000000000,10780000000000
13310000000000,4713000000000,10290000000000,9811000000000
12790000000000,4295000000000,9747000000000,8879000000000
12680000000000,4484000000000,10170000000000,8560000000000
13280000000000,5648000000000,11310000000000,8962000000000
14210000000000,7045000000000,12720000000000,10270000000000
15030000000000,7465000000000,13230000000000,12050000000000
15710000000000,7585000000000,12790000000000,13430000000000
16520000000000,6487000000000,11570000000000,13420000000000
15980000000000,6148000000000,11700000000000,12200000000000
15540000000000,6065000000000,11780000000000,11560000000000
15250000000000,5773000000000,11560000000000,11350000000000
14650000000000,5226000000000,11090000000000,10550000000000
13590000000000,4669000000000,10420000000000,9663000000000
12740000000000,4370000000000,9840000000000,8833000000000
12950000000000,4757000000000,10210000000000,8689000000000
13620000000000,5807000000000,11720000000000,9006000000000
14560000000000,7646000000000,13390000000000,10260000000000
14870000000000,8202000000000,12700000000000,12600000000000
16460000000000,6944000000000,12370000000000,13400000000000
16390000000000,6267000000000,11690000000000,12970000000000
15770000000000,6113000000000,11640000000000,11950000000000
15360000000000,5910000000000,11580000000000,11410000000000
15170000000000,5644000000000,11400000000000,11160000000000
14490000000000,5058000000000,10940000000000,10390000000000
13380000000000,4517000000000,10210000000000,9259000000000
12560000000000,4134000000000,9591000000000,8371000000000
12550000000000,4360000000000,9701000000000,7917000000000
13300000000000,5535000000000,11320000000000,8488000000000
14090000000000,7185000000000,12480000000000,9901000000000
14790000000000,7867000000000,12550000000000,11970000000000
16430000000000,6898000000000,12260000000000,13140000000000
16120000000000,6507000000000,12080000000000,12880000000000
16120000000000,6334000000000,11800000000000,12400000000000
15670000000000,6259000000000,11810000000000,12010000000000
15370000000000,5825000000000,11520000000000,11540000000000
14560000000000,5378000000000,11140000000000,10790000000000
13570000000000,4941000000000,10580000000000,10170000000000
12910000000000,4609000000000,10130000000000,9455000000000
12940000000000,4745000000000,10320000000000,9090000000000
13420000000000,5579000000000,11520000000000,9139000000000
14500000000000,7366000000000,13290000000000,10470000000000
15260000000000,8849000000000,13620000000000,12560000000000
16820000000000,7290000000000,12040000000000,14020000000000
16780000000000,6415000000000,11770000000000,13150000000000
16110000000000,6234000000000,11770000000000,12450000000000
15570000000000,6075000000000,11720000000000,11910000000000
15320000000000,5621000000000,11380000000000,11380000000000
14340000000000,4968000000000,10800000000000,10070000000000
13360000000000,4564000000000,10170000000000,9089000000000
12520000000000,4069000000000,9455000000000,8226000000000
12810000000000,4333000000000,10360000000000,7875000000000
13590000000000,5835000000000,11590000000000,8640000000000
14480000000000,8017000000000,13080000000000,10190000000000
15000000000000,8494000000000,12980000000000,12380000000000
16550000000000,7369000000000,11820000000000,13760000000000
17230000000000,5966000000000,11300000000000,13070000000000
16090000000000,5883000000000,11670000000000,11980000000000
15420000000000,5780000000000,11630000000000,11390000000000
15040000000000,5612000000000,11380000000000,10960000000000
14410000000000,5252000000000,10990000000000,10320000000000
13530000000000,4896000000000,10400000000000,9895000000000
12630000000000,4312000000000,9662000000000,9066000000000
12870000000000,4298000000000,9839000000000,8347000000000
13360000000000,5532000000000,11720000000000,9121000000000
14210000000000,6896000000000,12590000000000,10480000000000
15220000000000,7439000000000,12930000000000,12000000000000
16390000000000,6877000000000,12310000000000,12970000000000
16000000000000,6353000000000,11930000000000,12510000000000
15810000000000,5806000000000,11170000000000,11590000000000
15250000000000,5480000000000,11200000000000,10510000000000
15010000000000,5335000000000,11210000000000,10110000000000
14360000000000,4960000000000,10820000000000,9655000000000
13380000000000,4508000000000,10190000000000,8961000000000
12660000000000,4029000000000,9478000000000,8380000000000
12630000000000,3964000000000,9550000000000,7822000000000
13260000000000,4882000000000,11250000000000,7997000000000
14180000000000,6761000000000,12760000000000,9235000000000
15250000000000,8549000000000,13490000000000,11380000000000
16280000000000,6742000000000,11910000000000,13220000000000
16790000000000,5828000000000,11440000000000,12440000000000
15870000000000,5598000000000,11280000000000,11330000000000
15320000000000,5615000000000,11400000000000,10670000000000
15040000000000,5266000000000,11040000000000,10290000000000
14350000000000,4725000000000,10550000000000,9611000000000
13350000000000,4250000000000,9902000000000,8769000000000
12500000000000,4090000000000,9559000000000,8093000000000
12440000000000,4242000000000,9572000000000,7923000000000
13610000000000,4928300000000,11090000000000,7912000000000
13360000000000,6893000000000,13370000000000,9240000000000
14970000000000,7552000000000,12920000000000,11070000000000
16010000000000,6943000000000,12140000000000,12500000000000
16470000000000,5937000000000,11350000000000,12270000000000
15840000000000,5671000000000,11340000000000,11460000000000
